N°vel;Categoria;Palavra;Letras;Similar 1;Similar 2;Similar 3
MÇdio ; Objetos ; Abajur ;6; LÉmpada ; Lanterna ; Holofote
Dif°cil ; Objetos ; acendedor ;9; chama ; fa°sca ; igniá∆o
Muito dif°cil ; Objetos ; Actinìmetro ;10; Sensor ; Fotìmetro ; Medidor
Dif°cil ; Objetos ; Aerof¢lio ;9; Asa ; Aileron ; Defletor
Muito dif°cil ; Objetos ; Aer¢grafo ;9; Compressor ; Bico ; Pistola
Dif°cil ; Objetos ; Aerìmetro ;8; Sensor ; Anemìmetro ; Barìmetro
Dif°cil ; Objetos ; Agogì ;5; Sino ; TriÉngulo ; Tambor
Dif°cil ; Objetos ; Aguáada ;7; LÉmina ; Faca ; Navalha
F†cil ; Objetos ; Agulha ;6; Alfinete ; Sonda ; Pino
Muito dif°cil ; Objetos ; Alabarda ;8; Lanáa ; Machado ; Espada
Muito dif°cil ; Objetos ; Alambique ;9; Destilador ; Tonel ; Barril
MÇdio ; Objetos ; Alavanca ;8; Manivela ; Haste ; Barra
Muito dif°cil ; Objetos ; Albedìmetro ;10; Sensor ; Fotìmetro ; Medidor
Muito dif°cil ; Objetos ; Alc°metro ;8; Medidor ; Sensor ; RÇgua
Dif°cil ; Objetos ; Alcova ;6; Nicho ; Recesso ; Abrigo
Dif°cil ; Objetos ; Alfinete ;8; Grampo ; Presilha ; Pregador
MÇdio ; Objetos ; Alforge ;7; Bolsa ; Saco ; Mochila
Dif°cil ; Objetos ; alforje ;7; saco ; bolsa ; mala
MÇdio ; Objetos ; Alicate ;7; Chave ; Martelo ; Torquàs
Muito dif°cil ; Objetos ; Alicerce ;8; Fundaá∆o ; Base ; Suporte
MÇdio ; Objetos ; Almofada ;8; Travesseiro ; Colch∆o ; Manta
MÇdio ; Objetos ; almofariz ;9; pil∆o ; pedra ; esmagador
Muito dif°cil ; Objetos ; Alquitara ;8; Destilador ; Recipiente ; Cuba
Muito dif°cil ; Objetos ; Ambigrama ;9; Figura ; S°mbolo ; Desenho
Dif°cil ; Objetos ; Amostrador ;10; Coletor ; Sonda ; Detector
Dif°cil ; Objetos ; amper°metro ;11; corrente ; elÇtrica ; medidor
Dif°cil ; Objetos ; Ampola ;6; Frasco ; Vidro ; Tubo
Muito dif°cil ; Objetos ; Ampulheta ;9; Rel¢gio ; Cronìmetro ; Temporizador
MÇdio ; Objetos ; amuleto ;7; talism∆ ; pedra ; s°mbolo
Muito dif°cil ; Objetos ; Analisador ;10; Detector ; Sensor ; Medidor
Dif°cil ; Objetos ; anastigm†tico ;13; lente ; foco ; ¢ptica
Muito dif°cil ; Objetos ; Ancilosc¢pio ;12; Oscilosc¢pio ; Medidor ; Sensor
MÇdio ; Objetos ; Anel ;4; Pulseira ; Colar ; Cord∆o
Muito dif°cil ; Objetos ; Anemìmetro ;10; Ventoinha ; HÇlice ; Catavento
Muito dif°cil ; Objetos ; Antena ;6; Receptor ; Sinal ; Torre
MÇdio ; Objetos ; Anzol ;5; Gancho ; Haste ; Ponta
F†cil ; Objetos ; Apito ;5; Sirene ; Sinal ; Campainha
Dif°cil ; Objetos ; Aplanador ;10; Prensa ; Lixadeira ; Plainadeira
MÇdio ; Objetos ; Aquecedor ;9; Fogareiro ; Forno ; Chaleira
F†cil ; Objetos ; areia ;5; gr∆o ; p¢ ; terra
F†cil ; Objetos ; Armadura ;8; Escudo ; Elmo ; Peitoral
F†cil ; Objetos ; Aro ;3; Roda ; Anel ; Arco
Dif°cil ; Objetos ; Arp∆o ;5; Lanáa ; Gancho ; Flecha
Muito dif°cil ; Objetos ; ArpÇu ;5; Gancho ; Haste ; Garra
MÇdio ; Objetos ; Aspirador ;9; Vassoura ; Panela ; Esfreg∆o
Dif°cil ; Objetos ; Astrol†bio ;10; B£ssola ; Sextante ; Ruma
Muito dif°cil ; Objetos ; Autoclave ;9; Estufa ; Esterilizador ; CÉmara
F†cil ; Objetos ; Bacia ;5; Tigela ; Balde ; Recipiente
Dif°cil ; Objetos ; bafìmetro ;9; medidor ; †lcool ; sensor
Muito dif°cil ; Objetos ; Baioneta ;8; LÉmina ; Faca ; Espada
F†cil ; Objetos ; Balanáa ;7; RÇgua ; Medidor ; Termìmetro
Dif°cil ; Objetos ; Balancim ;8; Guincho ; P¢rtico ; Polia
F†cil ; Objetos ; Bal∆o ;5; Bola ; Bexiga ; Enfeite
F†cil ; Objetos ; Balde ;5; Bacia ; Caixa ; Recipiente
F†cil ; Objetos ; Banco ;5; Cadeira ; Banquinho ; Sof†
F†cil ; Objetos ; Bandeira ;8; FlÉmula ; Sinal ; Estandarte
MÇdio ; Objetos ; Bandeirinha ;11; FlÉmula ; Estandarte ; Sinal
MÇdio ; Objetos ; Bandeirola ;10; Bandeira ; Placa ; Cartaz
MÇdio ; Objetos ; Bandeja ;7; Travessa ; Prato ; Tabuleiro
F†cil ; Objetos ; Banheira ;8; Pia ; Chuveiro ; Duchas
MÇdio ; Objetos ; banquetas ;9; banco ; cadeira ; assento
Muito dif°cil ; Objetos ; Barìmetro ;9; Higrìmetro ; Termìmetro ; Manìmetro
Muito dif°cil ; Objetos ; Barosc¢pio ;9; Barìmetro ; Sensor ; Medidor
Dif°cil ; Objetos ; Barquilha ;8; Concha ; Colher ; Esp†tula
Dif°cil ; Objetos ; Barquinha ;9; Canoa ; Barco ; Lancha
MÇdio ; Objetos ; Barreira ;8; Muro ; Cerca ; Port∆o
MÇdio ; Objetos ; barrete ;7; gorro ; chapÇu ; touca
MÇdio ; Objetos ; Barril ;6; Tambo ; Pote ; Recipiente
Dif°cil ; Objetos ; Bast∆o ;6; Vara ; Cetro ; Lanáa
F†cil ; Objetos ; ba£ ;3; caixa ; cofre ; maleta
Dif°cil ; Objetos ; Belfre ;6; Torre ; Sino ; Estrutura
F†cil ; Objetos ; Bengala ;7; Suporte ; Bast∆o ; Vara
F†cil ; Objetos ; B°blia ;6; Livro ; Revista ; µlbum
Dif°cil ; Objetos ; Bin¢culo ;8; Mon¢culo ; Luneta ; ‡culos
MÇdio ; Objetos ; Bisnaga ;7; Tubo ; Ampola ; Recipiente
F†cil ; Objetos ; blecaute ;8; pano ; cortina ; tecido
MÇdio ; Objetos ; Bobina ;6; Fio ; Carretel ; Rolo
MÇdio ; Objetos ; boia ;4; flutuaá∆o ; †gua ; c°rculo
MÇdio ; Objetos ; boina ;5; chapÇu ; gorro ; tecido
F†cil ; Objetos ; Bolsa ;5; Mochila ; Carteira ; Mala
F†cil ; Objetos ; BonÇ ;4; ChapÇu ; Touca ; Viseira
